"p_id","p_url","p_name","p_status","p_brand","p_system","p_addtime","jd_price","p_weight","p_network","p_color","p_CPU","p_screenSize","p_place","p_special","p_tags","p_comment"
982040,"http://item.jd.com/982040.html","苹果5S","1","苹果（Apple）","iOS","2013-11-20 13:47:19",4988,352,"联通3G（WCDMA）,移动2G/联通2G（GSM）","金色","","4.0-3.1英寸","中国大陆","拍照神器","外观漂亮(3648)
系统流畅(2911)
反应快(2537)
功能齐全(2409)
照相不错(2266)
分辨率高(2262)
通话质量好(1703)
音质好(1604)
后盖很漂亮(1526)","全部评价(15061)
好评(14425)
中评(335)
差评(301)
有晒单(847)"
647812,"http://item.jd.com/647812.html","三星I9300","1","三星（SAMSUNG）","Android","2013-11-12 10:55:58",2388,340,"联通3G（WCDMA）,移动2G/联通2G（GSM）","白色","四核CPU","4.9-4.1英寸","中国大陆","购机送话费","外观漂亮(4077)
屏幕大(3484)
性价比高(3126)
功能齐全(3076)
系统流畅(2930)
分辨率高(2919)
照相不错(2856)
反应快(2514)
通话质量好(1928)","全部评价(30343)
好评(28021)
中评(1467)
差评(855)
有晒单(851)"
919669,"http://item.jd.com/919669.html","华为P6","1","华为（HUAWEI）","Android","2014-02-08 16:21:12",1949,392,"移动2G/联通2G（GSM）,移动3G（TD-SCDMA）","黑色","四核CPU","4.9-4.1英寸","中国大陆","美颜自拍","支持国产机(1192)
外观漂亮(1185)
性价比高(839)
系统流畅(770)
照相不错(677)
功能齐全(631)
屏幕大(612)
分辨率高(594)
反应快(579)
通话质量好(463)","全部评价(4362)
好评(4090)
中评(195)
差评(77)
有晒单(182)"
772065,"http://item.jd.com/772065.html","三星N7102","1","三星（SAMSUNG）","Android","2013-03-13 16:27:44",2788,436,"联通3G（WCDMA）,双卡,移动2G/联通2G（GSM）","蓝色","","5.5-5.0英寸","中国大陆","","屏幕大(725)
外观漂亮(557)
功能齐全(512)
性价比高(498)
系统流畅(474)
反应快(391)
照相不错(324)
分辨率高(324)
通话质量好(321)
信号稳定(289)","全部评价(3676)
好评(3440)
中评(150)
差评(86)
有晒单(179)"
1023437,"http://item.jd.com/1023437.html","苹果5s","1","苹果（Apple）","iOS","2014-01-16 10:18:40",4899,350,"移动2G/联通2G（GSM）,移动3G（TD-SCDMA）,移动4G（TD-LTE ）","其它","","4.0-3.1英寸","中国大陆","拍照神器","外观漂亮(451)
系统流畅(387)
反应快(321)
功能齐全(299)
照相不错(263)
分辨率高(263)
通话质量好(197)
音质好(166)
软件也不错(163)
性价比高(147)","全部评价(1797)
好评(1711)
中评(40)
差评(46)
有晒单(114)"
1041685,"http://item.jd.com/1041685.html","华为B199","1","华为（HUAWEI）","Android","2014-01-14 09:34:55",1999,170,"电信2G（CDMA）,电信3G（CDMA2000）,双模（电信＋移动/联通2G）,移动2G/联通2G（GSM）","白色","","5.5-5.0英寸","中国大陆","拍照神器","支持国产机(2278)
屏幕大(2256)
外观漂亮(1937)
系统流畅(1856)
性价比高(1699)
反应快(1556)
照相不错(1491)
电池耐用(1335)
功能齐全(1327)","全部评价(8310)
好评(7924)
中评(253)
差评(133)
有晒单(1094)"
981822,"http://item.jd.com/981822.html","苹果4S","1","苹果（Apple）","iOS","2013-09-26 16:12:25",2798,342,"联通3G（WCDMA）,移动2G/联通2G（GSM）","黑色","","4.0-3.1英寸","中国大陆","拍照神器","外观漂亮(1958)
系统流畅(1773)
性价比高(1711)
照相不错(1444)
功能齐全(1413)
反应快(1367)
分辨率高(1311)
通话质量好(1212)
音质好(1085)","全部评价(9643)
好评(9021)
中评(396)
差评(226)
有晒单(442)"
1013278,"http://item.jd.com/1013278.html","努比亚大牛 Z5S","1","努比亚（nubia）","Android","2013-11-19 16:35:59",1999,305,"3G全网通,电信2G（CDMA）,电信3G（CDMA2000）,联通3G（WCDMA）,移动2G/联通2G（GSM）,移动3G（TD-SCDMA）","黑色","","5.5-5.0英寸","中国大陆","1080P全高清屏,JDPhone计划,美颜自拍,拍照神器","性价比高(4859)
支持国产机(4618)
分辨率高(4579)
系统流畅(4288)
反应快(3934)
屏幕大(3798)
照相不错(3731)
外观漂亮(3464)
功能齐全(2887)
信号稳定(1732)","全部评价(19818)
好评(18256)
中评(993)
差评(569)
有晒单(3205)"
862534,"http://item.jd.com/862534.html","三星I9508","1","三星（SAMSUNG）","Android","2013-04-17 08:47:26",3399,350,"移动2G/联通2G（GSM）,移动3G（TD-SCDMA）","白色","","5.5-5.0英寸","中国大陆","1080P全高清屏","外观漂亮(3437)
分辨率高(2829)
屏幕大(2827)
功能齐全(2742)
系统流畅(2699)
照相不错(2690)
反应快(2389)
通话质量好(1675)
音质好(1568)","全部评价(16222)
好评(15007)
中评(760)
差评(455)
有晒单(482)"
919670,"http://item.jd.com/919670.html","华为P6","1","华为（HUAWEI）","Android","2014-01-13 16:37:28",1999,390,"移动2G/联通2G（GSM）,移动3G（TD-SCDMA）","白色","四核CPU","4.9-4.1英寸","中国大陆","美颜自拍","外观漂亮(1365)
支持国产机(1293)
照相不错(845)
性价比高(800)
系统流畅(789)
功能齐全(661)
屏幕大(639)
分辨率高(635)
反应快(575)
通话质量好(450)","全部评价(4671)
好评(4343)
中评(220)
差评(108)
有晒单(167)"
